Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1993,Yucatan,Truck,Export,9979709.0,,
1993,Zacatecas,Other/Unknown,Export,2077103.0,,
1993,Zacatecas,Rail,Export,12477034.0,,
1993,Zacatecas,Truck,Export,17165074.0,,
1994,Aguascalientes,Other/Unknown,Export,1411856.0,,
1994,Aguascalientes,Rail,Export,10125140.0,,
1994,Aguascalientes,Truck,Export,317439673.0,,
1994,Baja California,Other/Unknown,Export,38786.0,,
1994,Baja California,Rail,Export,637080.0,,
1994,Baja California,Truck,Export,10233380.0,,
1994,Baja California Sur,Rail,Export,540341.0,,
1994,Baja California Sur,Truck,Export,3226183.0,,
1994,Campeche,Other/Unknown,Export,109900.0,,
1994,Campeche,Rail,Export,240069.0,,
1994,Campeche,Truck,Export,10370352.0,,
1994,Chiapas,Other/Unknown,Export,292574.0,,
1994,Chiapas,Rail,Export,158427.0,,
1994,Chiapas,Truck,Export,27182705.0,,
1994,Chihuahua,Other/Unknown,Export,263873975.0,,
1994,Chihuahua,Rail,Export,145037509.0,,
1994,Chihuahua,Truck,Export,7848246522.0,,
1994,Coahuila,Other/Unknown,Export,14631109.0,,
1994,Coahuila,Rail,Export,1139053593.0,,
1994,Coahuila,Truck,Export,1611318985.0,,
1994,Colima,Other/Unknown,Export,254009.0,,
1994,Colima,Rail,Export,10664428.0,,
1994,Colima,Truck,Export,87108095.0,,
1994,Distrito Federal,Other/Unknown,Export,78951241.0,,
1994,Distrito Federal,Rail,Export,1714590703.0,,
1994,Distrito Federal,Truck,Export,6876199773.0,,
1994,Durango,Other/Unknown,Export,3554272.0,,
1994,Durango,Rail,Export,66783457.0,,
1994,Durango,Truck,Export,276871800.0,,
1994,Estado de Mexico,Mail (U.S. Postal Service),Export,40125.0,,
1994,Estado de Mexico,Other/Unknown,Export,86712262.0,,
1994,Estado de Mexico,Rail,Export,438528298.0,,
1994,Estado de Mexico,Truck,Export,6686315432.0,,
1994,Guanajuato,Other/Unknown,Export,7567018.0,,
1994,Guanajuato,Rail,Export,115313533.0,,
1994,Guanajuato,Truck,Export,424606405.0,,
1994,Guerrero,Other/Unknown,Export,8505.0,,
1994,Guerrero,Rail,Export,1170253.0,,
1994,Guerrero,Truck,Export,17877039.0,,
1994,Hidalgo,Other/Unknown,Export,214375.0,,
1994,Hidalgo,Rail,Export,44144999.0,,
1994,Hidalgo,Truck,Export,85731827.0,,
1994,Jalisco,Other/Unknown,Export,11748054.0,,
1994,Jalisco,Rail,Export,237473728.0,,
1994,Jalisco,Truck,Export,1491718872.0,,
1994,Michoacan,Other/Unknown,Export,428443.0,,
1994,Michoacan,Rail,Export,58206584.0,,
1994,Michoacan,Truck,Export,62099940.0,,
1994,Morelos,Other/Unknown,Export,162812.0,,
1994,Morelos,Rail,Export,8759522.0,,
1994,Morelos,Truck,Export,204786254.0,,
1994,Nayarit,Other/Unknown,Export,41376.0,,
1994,Nayarit,Rail,Export,615386.0,,
1994,Nayarit,Truck,Export,3741596.0,,
1994,Nuevo Leon,Other/Unknown,Export,93352692.0,,
1994,Nuevo Leon,Rail,Export,349284818.0,,
1994,Nuevo Leon,Truck,Export,3082490294.0,,
1994,Oaxaca,Other/Unknown,Export,203146.0,,
1994,Oaxaca,Rail,Export,5693235.0,,
1994,Oaxaca,Truck,Export,12277596.0,,
1994,Puebla,Other/Unknown,Export,1724931.0,,
1994,Puebla,Rail,Export,56336339.0,,
1994,Puebla,Truck,Export,403695598.0,,
1994,Queretaro,Other/Unknown,Export,1865493.0,,
1994,Queretaro,Rail,Export,62882064.0,,
1994,Queretaro,Truck,Export,446935517.0,,
1994,Quintana Roo,Other/Unknown,Export,12784.0,,
1994,Quintana Roo,Rail,Export,726412.0,,
1994,Quintana Roo,Truck,Export,13043042.0,,
1994,San Luis Potosi,Other/Unknown,Export,505393.0,,
1994,San Luis Potosi,Rail,Export,21360705.0,,
1994,San Luis Potosi,Truck,Export,411757544.0,,
1994,Sinaloa,Other/Unknown,Export,1697393.0,,
1994,Sinaloa,Rail,Export,18732164.0,,
1994,Sinaloa,Truck,Export,40045713.0,,
1994,Sonora,Other/Unknown,Export,1104880.0,,
1994,Sonora,Rail,Export,9742776.0,,
1994,Sonora,Truck,Export,29760862.0,,
1994,Tabasco,Other/Unknown,Export,562250.0,,
1994,Tabasco,Rail,Export,2580802.0,,
1994,Tabasco,Truck,Export,16708296.0,,
1994,Tamaulipas,Mail (U.S. Postal Service),Export,403959.0,,
1994,Tamaulipas,Other/Unknown,Export,100168136.0,,
1994,Tamaulipas,Pipeline,Export,54250.0,,
1994,Tamaulipas,Rail,Export,231587944.0,,
1994,Tamaulipas,Truck,Export,4912730508.0,,
1994,Tlaxcala,Other/Unknown,Export,122512.0,,
1994,Tlaxcala,Rail,Export,15630710.0,,
1994,Tlaxcala,Truck,Export,56915267.0,,
