Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,4,Canada,Foreign Trade Zones (FTZs),Import,77275784.0,226638.28,499651.28
2007,4,Canada,Mail (U.S. Postal Service),Export,3991921.0,0.0,0.0
2007,4,Canada,Mail (U.S. Postal Service),Import,10048.0,1.06,2.34
2007,4,Canada,Other/Unknown,Export,1685201229.0,0.0,0.0
2007,4,Canada,Other/Unknown,Import,1092653844.0,988.57,2179.42
2007,4,Canada,Pipeline,Export,361379775.0,0.0,0.0
2007,4,Canada,Pipeline,Import,4408278104.0,6589550.99,14527455.9
2007,4,Canada,Rail,Export,2188066201.0,0.0,0.0
2007,4,Canada,Rail,Import,5435997296.0,7520395.51,16579614.35
2007,4,Canada,Truck,Export,14307449332.0,0.0,0.0
2007,4,Canada,Truck,Import,12761408686.0,5667726.31,12495182.78
2007,4,Canada,Vessel,Export,346219745.0,3458435.1,7624535.19
2007,4,Canada,Vessel,Import,1535684151.0,6424239.58,14163007.06
2007,4,Mexico,Air,Export,476734975.0,4827.65,10643.13
2007,4,Mexico,Air,Import,321896863.0,7733.33,17049.05
2007,4,Mexico,Foreign Trade Zones (FTZs),Import,60540152.0,6750.17,14881.56
2007,4,Mexico,Mail (U.S. Postal Service),Export,3400.0,0.0,0.0
2007,4,Mexico,Other/Unknown,Export,439163612.0,0.0,0.0
2007,4,Mexico,Other/Unknown,Import,220293756.0,293.74,647.59
2007,4,Mexico,Pipeline,Export,48551422.0,0.0,0.0
2007,4,Mexico,Pipeline,Import,9976892.0,19780.49,43608.46
2007,4,Mexico,Rail,Export,1586528876.0,0.0,0.0
2007,4,Mexico,Rail,Import,2115036049.0,924515.39,2038205.12
2007,4,Mexico,Truck,Export,7482465652.0,0.0,0.0
2007,4,Mexico,Truck,Import,10730352766.0,2802769.34,6179041.34
2007,4,Mexico,Vessel,Export,955325943.0,2259059.7,4980368.2
2007,4,Mexico,Vessel,Import,2745260637.0,8133382.89,17931018.59
2007,5,Canada,Air,Export,1336988363.0,21686.2,47809.83
2007,5,Canada,Air,Import,777343304.0,8387.01,18490.17
2007,5,Canada,Foreign Trade Zones (FTZs),Import,37235002.0,62593.57,137995.04
2007,5,Canada,Mail (U.S. Postal Service),Export,4891278.0,0.0,0.0
2007,5,Canada,Mail (U.S. Postal Service),Import,232132.0,0.61,1.34
2007,5,Canada,Other/Unknown,Export,1981586462.0,0.0,0.0
2007,5,Canada,Other/Unknown,Import,1088285241.0,781.52,1722.95
2007,5,Canada,Pipeline,Export,454907647.0,0.0,0.0
2007,5,Canada,Pipeline,Import,4386382086.0,6336089.94,13968670.6
2007,5,Canada,Rail,Export,2364526956.0,0.0,0.0
2007,5,Canada,Rail,Import,5541763377.0,7075229.15,15598191.69
2007,5,Canada,Truck,Export,15134817053.0,0.0,0.0
2007,5,Canada,Truck,Import,13290351465.0,5979757.96,13183093.99
2007,5,Canada,Vessel,Export,522752176.0,4393220.53,9685381.84
2007,5,Canada,Vessel,Import,1843927421.0,8013365.65,17666426.18
2007,5,Mexico,Air,Export,569409394.0,5129.23,11308.0
2007,5,Mexico,Air,Import,377498362.0,9209.08,20302.52
2007,5,Mexico,Foreign Trade Zones (FTZs),Import,64152408.0,7018.93,15474.07
2007,5,Mexico,Mail (U.S. Postal Service),Export,3400.0,0.0,0.0
2007,5,Mexico,Other/Unknown,Export,419789823.0,0.0,0.0
2007,5,Mexico,Other/Unknown,Import,253299625.0,179.06,394.76
2007,5,Mexico,Pipeline,Export,44320040.0,0.0,0.0
2007,5,Mexico,Pipeline,Import,13371515.0,24384.79,53759.2
2007,5,Mexico,Rail,Export,1753293423.0,0.0,0.0
2007,5,Mexico,Rail,Import,2324702940.0,1041088.26,2295204.0
2007,5,Mexico,Truck,Export,8348451667.0,0.0,0.0
2007,5,Mexico,Truck,Import,11916862527.0,3142055.87,6927039.21
2007,5,Mexico,Vessel,Export,919317370.0,2404759.99,5301581.97
2007,5,Mexico,Vessel,Import,2975797997.0,8904586.82,19631230.2
2007,6,Canada,Air,Export,1533202841.0,20760.66,45769.37
2007,6,Canada,Air,Import,774245293.0,8632.74,19031.91
2007,6,Canada,Foreign Trade Zones (FTZs),Import,22331392.0,32498.89,71647.7
2007,6,Canada,Mail (U.S. Postal Service),Export,4239466.0,0.0,0.0
2007,6,Canada,Mail (U.S. Postal Service),Import,20330.0,0.23,0.51
2007,6,Canada,Other/Unknown,Export,2077178003.0,0.0,0.0
2007,6,Canada,Other/Unknown,Import,1089170901.0,1134.88,2501.98
2007,6,Canada,Pipeline,Export,553521997.0,0.0,0.0
2007,6,Canada,Pipeline,Import,5232816691.0,9824202.77,21658633.91
2007,6,Canada,Rail,Export,2095142885.0,0.0,0.0
2007,6,Canada,Rail,Import,5787821468.0,6697674.28,14765826.67
2007,6,Canada,Truck,Export,15195005392.0,0.0,0.0
2007,6,Canada,Truck,Import,12939905960.0,5410756.32,11928661.6
2007,6,Canada,Vessel,Export,402026287.0,3080805.36,6792005.11
2007,6,Canada,Vessel,Import,1781629880.0,7364066.38,16234968.02
2007,6,Mexico,Air,Export,613018953.0,5164.83,11386.49
2007,6,Mexico,Air,Import,393396593.0,9205.86,20295.42
2007,6,Mexico,Foreign Trade Zones (FTZs),Import,52605107.0,6110.31,13470.91
2007,6,Mexico,Mail (U.S. Postal Service),Export,324558.0,0.0,0.0
2007,6,Mexico,Other/Unknown,Export,609543297.0,0.0,0.0
2007,6,Mexico,Other/Unknown,Import,252126378.0,131.85,290.68
2007,6,Mexico,Pipeline,Export,63184132.0,0.0,0.0
2007,6,Mexico,Pipeline,Import,13479803.0,24354.29,53691.95
2007,6,Mexico,Rail,Export,1544910647.0,0.0,0.0
2007,6,Mexico,Rail,Import,2613967183.0,1049042.19,2312739.39
