Year,Month,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
2007,1,Mineral Products,Air,Import,511851.0,3.12,6.88
2007,1,Mineral Products,Foreign Trade Zones (FTZs),Import,155964.0,88.13,194.29
2007,1,Mineral Products,Pipeline,Export,78803659.0,,
2007,1,Mineral Products,Pipeline,Import,9523925.0,23154.21,51046.23
2007,1,Mineral Products,Rail,Export,52124469.0,,
2007,1,Mineral Products,Rail,Import,9307637.0,130547.52,287807.67
2007,1,Mineral Products,Truck,Export,77634721.0,,
2007,1,Mineral Products,Truck,Import,43929752.0,132605.89,292345.6
2007,1,Mineral Products,Vessel,Export,154805541.0,745293.6,1643089.18
2007,1,Mineral Products,Vessel,Import,2283081571.0,8435046.65,18596072.55
2007,1,Miscellaneous Manufactured Articles,Air,Export,2308022.0,56.63,124.85
2007,1,Miscellaneous Manufactured Articles,Air,Import,1441231.0,77.35,170.53
2007,1,Miscellaneous Manufactured Articles,Other/Unknown,Export,19070.0,,
2007,1,Miscellaneous Manufactured Articles,Other/Unknown,Import,4671.0,0.1,0.22
2007,1,Miscellaneous Manufactured Articles,Rail,Export,738686.0,,
2007,1,Miscellaneous Manufactured Articles,Rail,Import,1231203.0,335.35,739.32
2007,1,Miscellaneous Manufactured Articles,Truck,Export,177285012.0,,
2007,1,Miscellaneous Manufactured Articles,Truck,Import,509083211.0,91621.59,201990.79
2007,1,Miscellaneous Manufactured Articles,Vessel,Export,5159115.0,610.87,1346.74
2007,1,Miscellaneous Manufactured Articles,Vessel,Import,3765636.0,787.21,1735.5
2007,1,"Optical, Medical & Precision Instruments",Air,Export,53526146.0,412.78,910.02
2007,1,"Optical, Medical & Precision Instruments",Air,Import,18605986.0,368.3,811.96
2007,1,"Optical, Medical & Precision Instruments",Foreign Trade Zones (FTZs),Import,1590073.0,57.28,126.28
2007,1,"Optical, Medical & Precision Instruments",Mail (U.S. Postal Service),Export,72659.0,,
2007,1,"Optical, Medical & Precision Instruments",Other/Unknown,Export,200297.0,,
2007,1,"Optical, Medical & Precision Instruments",Other/Unknown,Import,9671.0,0.02,0.04
2007,1,"Optical, Medical & Precision Instruments",Rail,Export,4838308.0,,
2007,1,"Optical, Medical & Precision Instruments",Rail,Import,2854991.0,60.63,133.67
2007,1,"Optical, Medical & Precision Instruments",Truck,Export,261888438.0,,
2007,1,"Optical, Medical & Precision Instruments",Truck,Import,545559179.0,26326.83,58040.66
2007,1,"Optical, Medical & Precision Instruments",Vessel,Export,1479285.0,49.13,108.31
2007,1,"Optical, Medical & Precision Instruments",Vessel,Import,306380.0,7.76,17.11
2007,1,Plastics & Rubber,Air,Export,4098969.0,179.87,396.54
2007,1,Plastics & Rubber,Air,Import,3599347.0,629.53,1387.87
2007,1,Plastics & Rubber,Foreign Trade Zones (FTZs),Import,604395.0,21.88,48.24
2007,1,Plastics & Rubber,Other/Unknown,Export,226204.0,,
2007,1,Plastics & Rubber,Rail,Export,148591666.0,,
2007,1,Plastics & Rubber,Rail,Import,45523521.0,35200.47,77603.66
2007,1,Plastics & Rubber,Truck,Export,840007776.0,,
2007,1,Plastics & Rubber,Truck,Import,229815658.0,84671.42,186668.31
2007,1,Plastics & Rubber,Vessel,Export,5378598.0,3651.62,8050.43
2007,1,Plastics & Rubber,Vessel,Import,8621757.0,6775.07,14936.45
2007,1,Precious Metals & Stones,Air,Export,28883514.0,61.04,134.57
2007,1,Precious Metals & Stones,Air,Import,37442273.0,19.7,43.43
2007,1,Precious Metals & Stones,Other/Unknown,Export,16905637.0,,
2007,1,Precious Metals & Stones,Other/Unknown,Import,1141560.0,0.47,1.04
2007,1,Precious Metals & Stones,Truck,Export,10625175.0,,
2007,1,Precious Metals & Stones,Truck,Import,158528313.0,408.8,901.25
2007,1,Precious Metals & Stones,Vessel,Export,91541.0,0.22,0.49
2007,1,Precious Metals & Stones,Vessel,Import,16958.0,0.39,0.86
2007,1,"Pulp, Paper & Paperboard",Air,Export,3345310.0,294.2,648.6
2007,1,"Pulp, Paper & Paperboard",Air,Import,1491074.0,175.63,387.2
2007,1,"Pulp, Paper & Paperboard",Other/Unknown,Export,16288.0,,
2007,1,"Pulp, Paper & Paperboard",Rail,Export,69615803.0,,
2007,1,"Pulp, Paper & Paperboard",Rail,Import,2687166.0,5325.22,11740.09
2007,1,"Pulp, Paper & Paperboard",Truck,Export,228391648.0,,
2007,1,"Pulp, Paper & Paperboard",Truck,Import,92740680.0,44470.57,98040.71
2007,1,"Pulp, Paper & Paperboard",Vessel,Export,14303106.0,29337.0,64676.94
2007,1,"Pulp, Paper & Paperboard",Vessel,Import,2482009.0,3587.95,7910.07
2007,1,"Raw Hides, Skins & Leather",Air,Export,902390.0,27.3,60.19
2007,1,"Raw Hides, Skins & Leather",Air,Import,488617.0,13.38,29.5
2007,1,"Raw Hides, Skins & Leather",Rail,Export,40635.0,,
2007,1,"Raw Hides, Skins & Leather",Rail,Import,425.0,6.72,14.82
2007,1,"Raw Hides, Skins & Leather",Truck,Export,43414812.0,,
2007,1,"Raw Hides, Skins & Leather",Truck,Import,12888869.0,1176.37,2593.45
2007,1,"Raw Hides, Skins & Leather",Vessel,Export,173005.0,25.29,55.75
2007,1,"Raw Hides, Skins & Leather",Vessel,Import,212171.0,22.55,49.71
2007,1,Special Classification Provisions,Air,Export,111074.0,5.55,12.24
2007,1,Special Classification Provisions,Air,Import,42776828.0,242.98,535.68
2007,1,Special Classification Provisions,Foreign Trade Zones (FTZs),Import,168995.0,32.27,71.14
2007,1,Special Classification Provisions,Other/Unknown,Export,319220506.0,,
2007,1,Special Classification Provisions,Other/Unknown,Import,207820079.0,88.63,195.4
2007,1,Special Classification Provisions,Rail,Export,13234.0,,
2007,1,Special Classification Provisions,Rail,Import,1894631.0,1674.96,3692.65
2007,1,Special Classification Provisions,Truck,Export,20584233.0,,
2007,1,Special Classification Provisions,Truck,Import,364876754.0,54844.94,120912.25
2007,1,Special Classification Provisions,Vessel,Export,9000.0,0.71,1.57
2007,1,Special Classification Provisions,Vessel,Import,2097096.0,606.69,1337.52
2007,1,"Stone, Ceramic & Glass Products",Air,Export,1963086.0,70.31,155.01
2007,1,"Stone, Ceramic & Glass Products",Air,Import,232254.0,71.38,157.37
2007,1,"Stone, Ceramic & Glass Products",Foreign Trade Zones (FTZs),Import,671161.0,20.66,45.55
